#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
606272	50522	24890	248372	247000	-	-	Ubc	Esr1	-	RNESTROR|ER-alpha|Esr	Affinity Capture-Western	physical	Zhang QG (2011)	21808025	10116	10116	Low Throughput	-	-	-	likely ubiquitin conjugate	-	BioGRID
606273	24890	287155	247000	252046	-	-	Esr1	Stub1	RNESTROR|ER-alpha|Esr	Chip	Affinity Capture-Western	physical	Zhang QG (2011)	21808025	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606274	24890	297994	247000	255722	-	-	Esr1	Bag1	RNESTROR|ER-alpha|Esr	-	Affinity Capture-Western	physical	Zhang QG (2011)	21808025	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606275	287155	24890	252046	247000	-	-	Stub1	Esr1	Chip	RNESTROR|ER-alpha|Esr	Affinity Capture-Western	physical	Zhang QG (2011)	21808025	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606276	287155	297994	252046	255722	-	-	Stub1	Bag1	Chip	-	Affinity Capture-Western	physical	Zhang QG (2011)	21808025	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606277	25149	50522	247214	248372	-	-	Esr2	Ubc	ER-beta|ERbeta|Erb2	-	Affinity Capture-Western	physical	Zhang QG (2011)	21808025	10116	10116	Low Throughput	-	-	-	likely ubiquitin conjugate	-	BioGRID
606278	24890	25490	247000	247523	-	-	Esr1	Nedd8	RNESTROR|ER-alpha|Esr	-	Affinity Capture-Western	physical	Zhang QG (2011)	21808025	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606348	24316	24408	246496	246573	-	-	Drd1a	Grin1	Drd1|Drd-1|D1a	NMDAR1|NR1	Affinity Capture-Western	physical	Lee FJ (2002)	12408866	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606349	24316	24409	246496	246574	-	-	Drd1a	Grin2a	Drd1|Drd-1|D1a	NR2A|NMDAR2A	Affinity Capture-Western	physical	Lee FJ (2002)	12408866	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606350	24316	24408	246496	246573	-	-	Drd1a	Grin1	Drd1|Drd-1|D1a	NMDAR1|NR1	Reconstituted Complex	physical	Lee FJ (2002)	12408866	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606351	24316	24409	246496	246574	-	-	Drd1a	Grin2a	Drd1|Drd-1|D1a	NR2A|NMDAR2A	Reconstituted Complex	physical	Lee FJ (2002)	12408866	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606352	24408	24316	246573	246496	-	-	Grin1	Drd1a	NMDAR1|NR1	Drd1|Drd-1|D1a	Affinity Capture-Western	physical	Lee FJ (2002)	12408866	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606353	24408	24409	246573	246574	-	-	Grin1	Grin2a	NMDAR1|NR1	NR2A|NMDAR2A	Affinity Capture-Western	physical	Lee FJ (2002)	12408866	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606673	25301	307794	247340	258807	-	-	Cebpg	E2f4	C/EBP|CEBPRNA	-	Co-fractionation	physical	Iakova P (2003)	12757710	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606674	25301	24708	247340	246837	-	-	Cebpg	Rb1	C/EBP|CEBPRNA	-	Co-fractionation	physical	Iakova P (2003)	12757710	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606675	25301	83833	247340	249859	-	-	Cebpg	Smarcd2	C/EBP|CEBPRNA	BAF60b	Co-fractionation	physical	Iakova P (2003)	12757710	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606676	25301	24708	247340	246837	-	-	Cebpg	Rb1	C/EBP|CEBPRNA	-	Affinity Capture-Western	physical	Iakova P (2003)	12757710	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606677	25301	83833	247340	249859	-	-	Cebpg	Smarcd2	C/EBP|CEBPRNA	BAF60b	Affinity Capture-Western	physical	Iakova P (2003)	12757710	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606678	25301	307794	247340	258807	-	-	Cebpg	E2f4	C/EBP|CEBPRNA	-	Affinity Capture-Western	physical	Iakova P (2003)	12757710	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
606901	8065	25562	113743	247593	-	-	CUL5	Tceb3	VACM-1|VACM1	El	Affinity Capture-Western	physical	Yasukawa T (2008)	19037258	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
606902	8065	81807	113743	249665	-	-	CUL5	Tceb2	VACM-1|VACM1	-	Affinity Capture-Western	physical	Yasukawa T (2008)	19037258	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
606905	99375	81807	221235	249665	-	-	Cul4a	Tceb2	2810470J21Rik|AW495282	-	Affinity Capture-Western	physical	Yasukawa T (2008)	19037258	10090	10116	Low Throughput	-	-	-	-	-	BioGRID
606906	99375	25562	221235	247593	-	-	Cul4a	Tceb3	2810470J21Rik|AW495282	El	Affinity Capture-Western	physical	Yasukawa T (2008)	19037258	10090	10116	Low Throughput	-	-	-	-	-	BioGRID
606907	855319	64547	35455	249128	YMR276W	-	DSK2	Bcl2l11	-	Bim|BimL	Reconstituted Complex	physical	Wiggins CM (2011)	21378313	559292	10116	Low Throughput	-	-	-	-	-	BioGRID
606908	64547	7316	249128	113164	-	-	Bcl2l11	UBC	Bim|BimL	HMG20	Affinity Capture-Western	physical	Wiggins CM (2011)	21378313	10116	9606	Low Throughput	-	-	-	likely ubiquitin conjugate	-	BioGRID
606910	3361477	64547	280553	249128	SPAC56F8.08	-	mud1	Bcl2l11	-	Bim|BimL	Reconstituted Complex	physical	Wiggins CM (2011)	21378313	4896	10116	Low Throughput	-	-	-	-	-	BioGRID
607100	24778	50522	246902	248372	-	-	Slc2a1	Ubc	GLUTB|RATGTG1|GTG1|Gtg3|Glut1	-	Affinity Capture-Western	physical	Fernandes R (2004)	15359219	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
607528	50522	25388	248372	247426	-	-	Ubc	Arrb2	-	BARRES	Affinity Capture-Western	physical	Golan M (2010)	19996297	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
607561	24415	10048	246580	115359	-	-	Grm2	RANBP9	-	RANBPM|RanBP7|BPM90|BPM-L	Reconstituted Complex	physical	Seebahn A (2008)	18555800	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
607562	60590	293860	248875	254490	-	rCG_43821	Grm8	Flna	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	RGD1560614	Two-hybrid	physical	Seebahn A (2008)	18555800	10116	10116	High Throughput	-	-	-	-	-	BioGRID
607563	60590	362342	248875	263376	-	-	Grm8	Hipk2	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	-	Two-hybrid	physical	Seebahn A (2008)	18555800	10116	10116	High Throughput	-	-	-	-	-	BioGRID
607564	60590	300772	248875	256707	-	-	Grm8	Pias1	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	-	Two-hybrid	physical	Seebahn A (2008)	18555800	10116	10116	High Throughput	-	-	-	-	-	BioGRID
607565	60590	83614	248875	249779	-	-	Grm8	Pias3	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	-	Two-hybrid	physical	Seebahn A (2008)	18555800	10116	10116	High Throughput	-	-	-	-	-	BioGRID
607566	60590	25537	248875	247569	-	-	Grm8	Rock2	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	ROK|ROCK-II	Two-hybrid	physical	Seebahn A (2008)	18555800	10116	10116	High Throughput	-	-	-	-	-	BioGRID
607567	60590	25573	248875	247604	-	-	Grm8	Ube2i	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	UbcE2A	Two-hybrid	physical	Seebahn A (2008)	18555800	10116	10116	High Throughput	-	-	-	-	-	BioGRID
607568	60590	361509	248875	262734	-	-	Grm8	Ube2m	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	-	Two-hybrid	physical	Seebahn A (2008)	18555800	10116	10116	High Throughput	-	-	-	-	-	BioGRID
607569	24417	56469	246582	208005	-	-	Grm4	Pias1	-	2900068C24Rik|GBP|Ddxbp1	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	10090	Low Throughput	-	-	-	-	-	BioGRID
607570	24419	56469	246584	208005	-	-	Grm6	Pias1	mGluR6	2900068C24Rik|GBP|Ddxbp1	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	10090	Low Throughput	-	-	-	-	-	BioGRID
607571	81672	56469	249569	208005	-	-	Grm7	Pias1	-	2900068C24Rik|GBP|Ddxbp1	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	10090	Low Throughput	-	-	-	-	-	BioGRID
607572	60590	56469	248875	208005	-	-	Grm8	Pias1	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	2900068C24Rik|GBP|Ddxbp1	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	10090	Low Throughput	-	-	-	-	-	BioGRID
607573	24417	10401	246582	115673	-	-	Grm4	PIAS3	-	ZMIZ5	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
607574	24419	10401	246584	115673	-	-	Grm6	PIAS3	mGluR6	ZMIZ5	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
607575	81672	10401	249569	115673	-	-	Grm7	PIAS3	-	ZMIZ5	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
607576	60590	10401	248875	115673	-	-	Grm8	PIAS3	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	ZMIZ5	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
607578	24417	8535	246582	114105	-	-	Grm4	CBX4	-	PC2|NBP16	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	source of Pc2 not clear	-	BioGRID
607579	24419	8535	246584	114105	-	-	Grm6	CBX4	mGluR6	PC2|NBP16	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	source of Pc2 not clear	-	BioGRID
607580	81672	8535	249569	114105	-	-	Grm7	CBX4	-	PC2|NBP16	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	source of Pc2 not clear	-	BioGRID
607581	60590	8535	248875	114105	-	-	Grm8	CBX4	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	PC2|NBP16	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	source of Pc2 not clear	-	BioGRID
607582	24417	7329	246582	113177	-	-	Grm4	UBE2I	-	UBC9|C358B7.1|P18	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	source of Ubc9 not clear	-	BioGRID
607583	24419	7329	246584	113177	-	-	Grm6	UBE2I	mGluR6	UBC9|C358B7.1|P18	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	source of Ubc9 not clear	-	BioGRID
607584	81672	7329	249569	113177	-	-	Grm7	UBE2I	-	UBC9|C358B7.1|P18	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	source of Ubc9 not clear	-	BioGRID
607585	60590	7329	248875	113177	-	-	Grm8	UBE2I	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	UBC9|C358B7.1|P18	Reconstituted Complex	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	source of Ubc9 not clear	-	BioGRID
607587	60590	7341	248875	113188	-	OK/SW-cl.43	Grm8	SUMO1	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	PIC1|SENP2|DAP1|SMT3C|OFC10|SMT3H3|SMT3|GMP1|UBL1	Affinity Capture-Western	physical	Duetting E (2011)	21288202	10116	9606	Low Throughput	-	-	-	likely SUMO conjugate|source of SUMO not clear	-	BioGRID
607588	60590	501403	248875	272710	-	-	Grm8	Cbx4	mGluR8b|Mglur8|mGlur|Gprc1h|Glur8	-	Two-hybrid	physical	Seebahn A (2008)	18555800	10116	10116	High Throughput	-	-	-	-	-	BioGRID
607603	65199	301442	249311	256960	-	-	Kcnip3	Sumo1	Csen|rKChIP3|Dream	-	Affinity Capture-Western	physical	Palczewska M (2011)	21070824	10116	10116	Low Throughput	-	-	-	likely SUMO conjugate	-	BioGRID
607712	25736	690244	247764	605061	-	-	Kcnb1	Sumo2	DRK1PC|Shab|Kv2.1|Kcr1-1	Smt3h2|Smt3A	FRET	physical	Plant LD (2011)	21518833	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
607713	25736	499417	247764	270726	-	-	Kcnb1	Sumo3	DRK1PC|Shab|Kv2.1|Kcr1-1	-	FRET	physical	Plant LD (2011)	21518833	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
607714	25736	301442	247764	256960	-	-	Kcnb1	Sumo1	DRK1PC|Shab|Kv2.1|Kcr1-1	-	FRET	physical	Plant LD (2011)	21518833	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
607715	25736	25573	247764	247604	-	-	Kcnb1	Ube2i	DRK1PC|Shab|Kv2.1|Kcr1-1	UbcE2A	FRET	physical	Plant LD (2011)	21518833	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
608460	25489	55810	247522	120920	-	-	Nedd4	FOXJ2	Nedd4a	FHX	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608463	25489	57048	247522	121341	-	-	Nedd4	PLSCR3	Nedd4a	-	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608464	25489	23558	247522	117102	-	-	Nedd4	WBP2	Nedd4a	WBP-2	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608465	25489	25	247522	106543	-	RP11-83J21.1	Nedd4	ABL1	Nedd4a	ABL|JTK7|c-ABL|p150|v-abl|bcr/abl	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608466	25489	2257	247522	108548	-	-	Nedd4	FGF12	Nedd4a	FHF1|FGF12B	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608467	25489	2287	247522	108577	-	-	Nedd4	FKBP3	Nedd4a	FKBP-3|PPIase|FKBP-25|FKBP25	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608468	25489	8416	247522	114002	-	-	Nedd4	ANXA9	Nedd4a	ANX31	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608469	25489	1983	247522	108298	-	-	Nedd4	EIF5	Nedd4a	EIF-5A	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608470	25489	8550	247522	114120	-	-	Nedd4	MAPKAPK5	Nedd4a	PRAK	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608471	25489	7528	247522	113360	-	-	Nedd4	YY1	Nedd4a	YIN-YANG-1|INO80S|NF-E1|DELTA|UCRBP	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608472	25489	4133	247522	110305	-	-	Nedd4	MAP2	Nedd4a	MAP2C|MAP2A|MAP2B	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608473	25489	50818	247522	119132	-	-	Nedd4	DYT10	Nedd4a	EKD1|PKC	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608474	25489	51776	247522	119725	-	HCCS4	Nedd4	ZAK	Nedd4a	AZK|mlklak|MLK7|pk|MLTK|MLT|MRK	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608476	25489	9962	247522	115287	-	RP1-237C24.1	Nedd4	SLC23A2	Nedd4a	SVCT2|NBTL1|SLC23A1|YSPL2	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608477	25489	146227	247522	126974	-	-	Nedd4	BEAN1	Nedd4a	SCA31|BEAN	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608478	25489	10000	247522	115318	-	-	Nedd4	AKT3	Nedd4a	STK-2|PKBG|PRKBG|PKB-GAMMA|RAC-PK-gamma|RAC-gamma	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608479	25489	366	247522	106861	-	-	Nedd4	AQP9	Nedd4a	HsT17287|AQP-9|SSC1	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608480	25489	7867	247522	113617	-	-	Nedd4	MAPKAPK3	Nedd4a	3PK|MAPKAPK-3|MAPKAP3	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608481	25489	2321	247522	108609	-	-	Nedd4	FLT1	Nedd4a	VEGFR1|FLT	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608482	25489	673	247522	107141	-	-	Nedd4	BRAF	Nedd4a	NS7|BRAF1|RAFB1|B-RAF1	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608483	25489	26519	247522	117723	-	-	Nedd4	TIMM10	Nedd4a	TIM10|TIM10A	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608484	25489	3053	247522	109303	-	-	Nedd4	SERPIND1	Nedd4a	LS2|D22S673|HCF2|HLS2|HC2|HCII	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608485	25489	404093	247522	135642	-	-	Nedd4	CUEDC1	Nedd4a	-	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608486	25489	57118	247522	121382	-	RP11-462F15.1	Nedd4	CAMK1D	Nedd4a	CKLiK|CaM-K1|CaMKID	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
608487	25489	10110	247522	115416	-	RP1-138B7.2	Nedd4	SGK2	Nedd4a	dJ138B7.2|H-SGK2	Biochemical Activity	physical	Persaud A (2009)	19953087	10116	9606	High Throughput	-	Ubiquitination	-	High Throughput: A ubiquitination assay was applied to a protein microarray in order to identify substrates of the E3 enzyme Nedd4.  The reaction contained E1,  UbcH5b [E2], and FITC-labelled ubiquitin.|High Throughput: Only those proteins that showed four independent interactions were considered substrates (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).  The top ~50 hits were selected as high-confidence data sets.	-	BioGRID
